@relation DIALOG_UTTERANCES
@attribute DOC_TEXT string
@attribute HAS_QUESTION_MARK {true, false}
@attribute HAS_AFFIRMATIVE {true, false}
@attribute HAS_NEGATIVE {true, false}
@attribute STARTING_POS {CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNS, NNP, NNPS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, X}
@attribute ACT_TAG {statement, question, yes, no, other}
@data
"is watchin the screen",false,false,false,X,statement
"you tired USERNAME? or bored?",true,false,false,PRP,question
"hi USERNAME ",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"Hi  USERNAME ",false,false,false,UH,other
"bored....",false,false,false,JJ,statement
"and theyd all wear sunglasses to work",false,false,false,CC,statement
"Hi  USERNAME ",false,false,false,UH,other
"I see",false,false,false,PRP,statement
"hi USERNAME ",false,false,false,JJ,other
"bored?    man the day is slipping away   do something",true,false,false,JJ,statement
"guess he crashed, lol",false,false,false,VB,statement
"well.....perhaps you should find something Unboring to do ",false,false,false,RB,statement
"yeah i should toss it",false,true,false,UH,yes
"Hi  USERNAME  of u",false,false,false,UH,other
"no but USERNAME fiddles, lol",false,false,true,DT,no
"how many USERNAME is there today? lol",true,false,false,WRB,question
"u evil  twin  left  USERNAME ",false,false,false,JJ,statement
"hi USERNAME ",false,false,false,JJ,other
"say what USERNAME????",true,false,false,VB,question
"hi USERNAME",false,false,false,JJ,other
"chatting, but insome chats people just simply ...babble nonsense or are cyberin' thru the pm's.....lol",false,false,true,VBG,statement
"Hi  USERNAME   welcome to room",false,false,false,UH,other
"hi USERNAME ",false,false,false,JJ,other
"USERNAME tjhe sun is fighting to get out",false,false,false,CD,statement
"welll excuuuuuuse me",false,false,false,NN,statement
"hi folks...ty",false,false,false,UH,other
"hi all",false,false,false,UH,other
"yep I can see that USERNAME  ",false,true,false,UH,yes
",,,,,,, babblein nonsense i think",false,false,true,X,statement
"now my parrot is misbehaving",false,false,true,RB,statement
"Well....if you don't like the conversation...the solution is Simple....Change it ",false,false,false,UH,statement
"hey USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME ",false,false,false,JJ,other
"USERNAME",false,false,false,CD,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"USERNAME",false,false,false,CD,other
"hello USERNAME",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"Hi USERNAME!!!!",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"Hi  USERNAME   welcome  to room as u  go  shoppin at kmart  for  new pants",false,false,false,UH,other
"helloooo USERNAME",false,false,false,NN,other
"that's y i'm here.....lol",false,false,false,DT,statement
"hi USERNAME!!! gm",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME!!!!",false,false,false,JJ,other
"hi USERNAME ",false,false,false,JJ,other
"Hi  USERNAME   welcome  to room as u  go  shoppin at kmart  for  new pants",false,false,false,UH,other
"lol hi USERNAME",false,false,false,FW,other
"USERNAMEth cup o coffee, lol",false,false,false,CD,statement
"hi USERNAME",false,false,false,JJ,other
"good day to you USERNAME........  ",false,false,false,JJ,other
"jk",false,false,false,NN,statement
"relax dont do it",false,false,false,VB,statement
"Hi  USERNAME   ",false,false,false,UH,other
"so.. where from USERNAME?",true,false,false,NN,question
"your gonna have to peel him off the Ceiling soon lol",false,false,false,PRP$,statement
"hi USERNAME!!!!!",false,false,false,JJ,other
"no USERNAME",false,false,true,DT,no
"say never never land",false,false,false,VBP,statement
"hi USERNAME",false,false,false,JJ,other
"beautiful day here ",false,false,false,JJ,statement
"kool",false,false,false,NN,statement
"just got back from the doc USERNAME",false,false,false,RB,statement
"hiya USERNAME",false,true,false,NN,other
"thats great USERNAME",false,false,false,DT,yes
"Hi  everyone come in  sit smoke are kiss",false,false,false,UH,other
"having my first cupo the dya",false,true,false,VBG,statement
"hi ya USERNAME",false,true,false,NN,other
"oh, what'd he do?",true,false,false,UH,question
"brb.... don't say you weren't warned...brb",false,false,false,NN,other
"messed up bad",false,false,false,VBD,statement
"how ya doin USERNAME ",false,true,false,WRB,question
"it's gonna be Kold soon ",false,false,false,PRP,statement
"exit light, enter night, off to never never land",false,false,false,NN,statement
"yep....cool...kool...",false,true,false,UH,yes
"wb USERNAME",false,false,false,IN,other
"that's right.......i forgot.",false,false,false,DT,statement
"hi USERNAME ",false,false,false,JJ,other
"Yes  USERNAME   spring is comin",false,true,false,UH,yes
"hi USERNAME",false,false,false,JJ,other
"well....they've got me going to see a specialist this afternoon at 345 for MRIs",false,false,true,RB,statement
"what about you .....what is your fascination with the Russion Space Ships?",true,false,false,WP,question
"sunshine is always nice",false,false,false,NN,yes
"good",false,false,false,JJ,yes
"amen USERNAME  ",false,false,false,JJ,yes
"goody",false,false,false,NN,statement
"lol....i'm a history buff......",false,false,false,NN,statement
"thanx USERNAME",false,false,false,NN,statement
"ahhhh I see",false,false,false,NN,statement
"what did you do to yourself USERNAME ?",true,false,false,WP,question
"hi all",false,false,false,UH,other
"I like Biographys",false,false,false,PRP,statement
"well i am a  hickory  nut",false,false,false,RB,statement
"we go from there i spose",false,false,false,PRP,statement
"mm buffalo wings",false,false,false,NN,statement
"hi USERNAME",false,false,false,JJ,other
"it means were getting older lol ... I figured it out",false,false,false,PRP,statement
"i love american hx",false,false,false,PRP,statement
"hi USERNAME",false,false,false,JJ,statement
"wasn't interested in them when I was younger....because they were all strangers to me LOL",false,false,false,VBD,statement
"oh",false,false,false,UH,statement
"now I know these people ...and it's interesting lol",false,false,true,RB,statement
"wb USERNAME who should change her nic to fallout",false,false,false,IN,other
"Hi  USERNAME   who is  here n there",false,false,false,UH,other
"history",false,false,false,NN,yes
"yep...",false,true,false,UH,yes
"ahhhh............. What a Coincidence ",false,false,false,NN,statement
"i blew out a knee and dislocated my left thumb or worse yesterday USERNAME, i'm aok though, no worries",false,true,true,PRP,statement
"hertory",false,false,false,NN,statement
"hi USERNAME",false,false,false,JJ,other
"fight the powers that be",false,false,false,X,statement
"heya USERNAME!",false,true,false,NN,other
"what grade do you teach?",true,false,false,WDT,question
"my damn comp is goofy so if I fall out",false,false,false,PRP$,statement
"there  a  story of  a man name brady who  had  12 kids out  of  wedlock  the others  were  kidnaped",false,false,false,EX,statement
"OOPS",false,false,false,UH,statement
"h.s",false,false,false,X,statement
"I see",false,false,false,PRP,statement
"none of my teachers would sleep with me",false,false,true,NN,statement
"oh that feels so much better already lol",false,false,false,UH,statement
"gets  USERNAME  a  pillow",false,false,false,VBZ,statement
"i had this one art teacher   ms xxxxxx   oooh lala",false,false,false,PRP,statement
"some of these nicnames are very odd lol",false,false,false,DT,statement
"they are",false,false,false,PRP,yes
"I need fake ID so I can get into an eighth grade classroom with a hot teacher",false,false,false,PRP,statement
"yes  USERNAME  like  mind",false,true,false,UH,yes
"lucky USERNAME none was like the gayoholic congressman Foley.....",false,false,true,JJ,statement
"thows eyes back,, i have two",false,true,false,NNS,statement
"watches eyes roll by",false,true,false,NNS,statement
"USERNAME...i've got a brother in Naples",false,false,false,CD,statement
"i know USERNAME",false,false,true,PRP,statement
"hugs USERNAME   dad is  bed bound  with  fractured compoud  vetrabrate",false,false,false,VBZ,statement
"hi USERNAME",false,false,false,JJ,other
"cool USERNAME miles from me",false,false,false,JJ,statement
"hi USERNAME",false,false,false,JJ,other
"I still wait on ssi  ssid hearin none yer",false,false,true,PRP,statement
"USERNAME your in the old country?",true,false,false,CD,statement
"yeah, we're headed that way in april, do some fishin and such",false,true,false,UH,statement
"I need USERNAME  as her evil  twin  enters room",false,false,false,PRP,statement
"am gonna shootthis pos thing",false,false,false,VBP,statement
"smart gal USERNAME..backup",false,false,false,JJ,statement
"yeah USERNAME",false,true,false,UH,yes
"beautiful there",false,false,false,JJ,statement
"oh",false,false,false,UH,statement
"it's raining",false,false,false,PRP,statement
"i was thinking sicily",false,false,false,PRP,statement
"a nice change from teh rockies too USERNAME",false,false,false,DT,statement
"Florida",false,false,false,NNP,statement
"rained here this morning",false,false,false,VBD,statement
"yep",false,true,false,UH,yes
"still think it  may  need have some  temp files  remove  USERNAME   work better",false,false,false,RB,statement
"florida is old country too i guess",false,false,false,NN,statement
"USERNAME has a nice pic...but it won't be current if she keeps getting booted",false,false,false,CD,statement
"hi USERNAME",false,false,false,JJ,other
"blue hairs'",false,false,false,JJ,statement
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME ",false,false,false,JJ,other
"hi USERNAMEm",false,false,false,JJ,other
"Hi  USERNAME   welcome to room",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME and ty ",false,false,false,JJ,other
"hi USERNAME  ",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hello all",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"nebraska is where its at",false,false,false,NN,statement
"corn",false,false,false,NN,statement
"hi USERNAME",false,false,false,JJ,other
"poot  poop",false,false,false,NN,statement
"get in line for the early bird specials",false,false,false,VB,statement
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME ",false,false,false,JJ,other
"hello USERNAME",false,false,false,UH,other
"hi USERNAME ",false,false,false,JJ,other
"well i off now see u all",false,false,true,RB,other
"soybeans",false,false,false,NNS,statement
"USERNAME has an awesome pic",false,false,false,CD,statement
"hope all is doing great",false,false,false,NN,statement
"lets go huskers",false,false,false,VBZ,statement
"Hiya USERNAME how have you been",false,true,false,NNP,other
"rain on the scarecrow",false,false,false,NN,statement
"backatchya USERNAME cutie",false,true,false,NN,statement
"hey USERNAME....no pm....",false,false,true,JJ,statement
"ok here USERNAME . thank you for asking ....... how are you ?",true,false,false,CC,question
"freak....",false,false,false,NN,statement
"!solved",false,false,false,VBD,statement
"thanks USERNAME",false,false,false,NNS,other
"fine here ty",false,false,false,NN,statement
"USERNAME has an awesome pic too ",false,false,false,CD,statement
"hi USERNAME",false,false,false,JJ,other
"good afternoon",false,false,true,JJ,other
"oh USERNAME is so so   snort, fingers crossed behind my back",false,false,true,UH,statement
"ty USERNAME",false,false,false,IN,statement
"hi USERNAME",false,false,false,JJ,other
"i think she photshopped it",false,false,false,PRP,statement
"hi USERNAME",false,false,false,JJ,other
"yw",false,false,false,UH,statement
"hi USERNAME",false,false,false,JJ,other
"USERNAME",false,false,false,CD,other
"its rather nice out today .. but yesterday was terrible",false,true,false,PRP$,statement
"USERNAME.....speaking of those nice px",false,false,false,CD,statement
"gm all",false,false,false,UH,other
"USERNAME",false,false,false,CD,other
"hi USERNAME ",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
"just czeching in before czeching out lol",false,false,false,RB,statement
"hi USERNAME",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
"hio USERNAME",false,false,false,NN,other
"hi everyone",false,false,false,UH,other
"hi USERNAME!!",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"ryaon so sexy",false,true,false,NN,statement
"hey USERNAME",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
"USERNAME",false,false,false,CD,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
"hey USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"MODE USERNAME",false,false,false,NN,statement
"hey USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME hugs",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"wb USERNAME",false,false,false,IN,other
"hi USERNAME ",false,false,false,JJ,other
"hi USERNAME ",false,false,false,JJ,other
"hiya USERNAME",false,true,false,NN,other
" hi USERNAME",false,false,false,X,other
"!detubetop",false,false,false,LS,statement
"helloooo  USERNAME",false,false,false,NN,other
"hiya USERNAME",false,true,false,NN,other
"hiya USERNAME hug",false,true,false,NN,other
"USERNAME",false,false,false,CD,statement
"hi USERNAME ",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hiya.. USERNAME",false,true,false,JJ,other
"USERNAME",false,false,false,CD,other
"wow must be lunch time ",false,false,false,PRP,statement
"hiya USERNAME",false,true,false,NN,other
"hi USERNAME",false,false,false,JJ,other
"I love USERNAME's pic",false,false,false,PRP,statement
"hey USERNAME",false,false,false,JJ,other
"Hi Everyone..    ",false,false,false,UH,other
"hiy USERNAME",false,false,false,NN,other
"hi USERNAME",false,false,false,JJ,other
"USERNAME",false,false,false,CD,statement
"USERNAME",false,false,false,CD,other
"hi USERNAME",false,false,false,JJ,other
"hows everyone",false,false,false,WRB,question
"just finished lunch ",false,false,false,RB,statement
"oh USERNAME left lol",false,false,false,UH,statement
"hiya USERNAME how are you today",false,true,false,NN,question
"fine here and u USERNAME",false,false,false,NN,question
"hi USERNAME",false,false,false,JJ,other
"i have to go to work ",false,false,false,PRP,statement
"i'm fine thnx USERNAME",false,false,false,PRP,statement
"hey USERNAME?",true,false,false,JJ,other
"good ty",false,false,false,JJ,statement
"hi USERNAME",false,false,false,JJ,other
"Hi USERNAME..",false,false,false,UH,other
"hi USERNAME",false,false,false,JJ,other
"yes USERNAME?",true,true,false,RB,question
"hiya USERNAME",false,true,false,NN,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"i just started a new job",false,false,false,PRP,statement
"new pic, I see, USERNAME",false,false,false,JJ,statement
"the roof the roof the roof is on fire",false,false,false,DT,statement
"Hello USERNAME!   ",false,false,false,UH,other
"hi USERNAME ",false,false,false,JJ,other
"congrat... USERNAME",false,false,false,NN,statement
"awesome USERNAME, whatcha doin?",true,false,false,JJ,question
"Hi all",false,false,false,UH,other
"hey USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"hey USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"sales",false,false,false,NNS,statement
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"no USERNAME I didn't get to go...death in the family ",false,false,true,DT,no
"hey USERNAME good to see you ",false,false,false,JJ,other
"you too ",false,false,false,PRP,statement
"USERNAME u beachhhh hehehe",false,false,false,CD,statement
"Sorry to hear that, USERNAME....  My sympathies to you and your family..",false,false,false,VB,statement
"really USERNAME?   so sorry",true,false,false,RB,statement
"oh sorry tohear that USERNAME, was just wondering, my sympathies",false,false,false,UH,statement
"credit card proocessing software, hardware...",false,false,false,NN,statement
"ty",false,false,false,IN,statement
"welll",false,false,false,NN,statement
"sorry to hear that USERNAME .... hugs hon",false,false,false,JJ,statement
"I haven't been in here in quite a while",false,false,false,PRP,statement
"was my oldest sons dad.....",false,false,false,VBD,statement
"ty USERNAME",false,false,false,IN,statement
"an X ...wowsa",false,false,false,DT,statement
"wb USERNAME",false,false,false,IN,other
"thanks USERNAME...oh you do give a damn.",false,false,false,NNS,other
"USERNAME I just had a death in the family as well.. bad week",false,false,false,CD,statement
"hi USERNAME",false,false,false,JJ,other
"ty",false,false,false,IN,statement
"lost, maybe, forgotten, sure",false,false,false,VBN,statement
"why yes I do USERNAME, lol",false,true,false,WRB,yes
"i knw how u feel",false,false,false,PRP,yes
"i just saw Death of a Salesman",false,false,false,PRP,statement
"hey USERNAME",false,false,false,JJ,other
"if i had the cash i would USERNAME",false,false,false,IN,statement
"yes it sucks USERNAME",false,true,false,UH,yes
"hey USERNAME",false,false,false,JJ,other
"phone brb",false,false,false,NN,other
"bye everyone",false,false,false,UH,other
"hb USERNAME",false,false,false,NN,other
"hi USERNAME ",false,false,false,JJ,other
"yes it does",false,true,false,UH,yes
"i was singing...lol",false,false,false,PRP,statement
"off key",false,false,false,IN,statement
"sing away USERNAME lol",false,false,false,VB,statement
"hmmmmm",false,false,false,NN,statement
"hey USERNAME....someone said he was coming up for thanksgiving....you should come with him ",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"USERNAME",false,false,false,CD,other
"Hiya USERNAME",false,true,false,NNP,other
"Hello USERNAME",false,false,false,UH,other
"thank god you were singing!  was gonna call animal welfare...thought someone was torturing a cat",false,false,false,VBP,other
"hi USERNAME",false,false,false,JJ,other
"hi USERNAME",false,false,false,JJ,other
"whisling dixie",false,false,false,VBG,statement
"Hiya USERNAME",false,true,false,NNP,other
"yep",false,true,false,UH,yes
"that was singing?          thought I had tuned into Martian swamp music...",true,false,false,DT,statement
"hey USERNAME, good to c u",false,false,false,JJ,other
"Hello USERNAME",false,false,false,UH,other
"be nice USERNAME lol",false,false,false,VB,statement
"Hey there USERNAME!",false,false,false,UH,other
"lol, cripes no mercy here",false,false,true,NN,statement
"hey there USERNAME",false,false,false,FW,other
"will play nice                 grrr.",false,false,false,X,statement
"I see new updated pics from USERNAME",false,false,false,PRP,statement
"Hiya USERNAME",false,true,false,NNP,other
"hi USERNAME",false,false,false,JJ,other
"aww miss USERNAME it was muzak to my ears",false,false,false,NN,statement
"wait til they beg for Mercy Huh USERNAME lol",false,false,false,VB,statement
"can't USERNAME, have a family reunion that Saturday",false,false,false,MD,no
"ty USERNAME........",false,false,false,IN,statement
"thats right USERNAME!",false,false,false,DT,yes
"ahhhhhh ok...who knows if he's really coming up...USERNAME lol",false,false,true,NN,statement
"yepper",false,true,false,NN,yes
"nice thought tho",false,false,false,JJ,statement
"USERNAME...I'm a nice guy in real life...             I wanna be a bandito in chatland...but I gotta play nice...  tongue ",false,false,false,CD,statement
"takes a long time USERNAME",false,false,false,VBZ,statement
"depends how many frags you got",false,false,false,VBZ,statement
"where did that come From?",true,false,false,WRB,question
"long time USERNAME...if ya don't do it regularly",false,true,false,JJ,statement
"later all  ",false,false,false,RB,other
"u never know with him USERNAME",false,false,true,PRP,statement
"depends on how long its been since you did it last USERNAME ",false,false,false,VBZ,statement
"bye USERNAME",false,false,false,CC,other
"depends on how fragged up ya are USERNAME",false,true,false,VBZ,statement
"it should",false,false,false,PRP,yes
"prolly",false,false,false,RB,statement
"lol how well I know already USERNAME lol",false,false,true,VB,statement
"removing the porn should",false,false,false,VBG,statement
"you're talking to the right guy about sluggish USERNAME",false,false,false,PRP,statement
"no USERNAME, bless you though",false,false,true,DT,no
"OK.. thanks, Everyone.. carry on... sorry for the interruption.",false,false,false,CD,other
"well thank you lol",false,false,false,UH,other
"worked for someone i know ",false,false,true,VBD,statement
"good luck USERNAME",false,false,false,JJ,statement
"LOL am not!",false,false,true,X,no
"ok back",false,false,false,RB,statement
"are too!",false,false,false,VBP,no
"wb USERNAME",false,false,false,IN,other
"it will work faster if you have other extensions turned off",false,false,false,PRP,statement
"ty ty",false,false,false,IN,statement
"heeee",false,false,false,NN,statement
"yea he is...he sat and talked to my daughter the other night USERNAME lol...",false,false,false,IN,yes
"just playin",false,false,false,RB,statement
"yepper",false,true,false,NN,yes
"hiya USERNAME",false,true,false,NN,other
"I just call the computer Guy ",false,false,false,PRP,statement
"heya USERNAME",false,true,false,NN,other
"son  computer guy",false,false,false,NN,statement
"yeah he told me, he finally called me last night, haven't talked to him in almost a week",false,true,false,UH,statement
"hows your day goin USERNAME",false,false,false,WRB,question
"lol USERNAME, lucky.",false,false,false,NN,statement
"well, thank god there's still time before last call USERNAME",false,false,false,RB,other
"wb USERNAME",false,false,false,IN,other
"wb USERNAME",false,false,false,IN,other
"ty USERNAME",false,false,false,IN,statement
"yw",false,false,false,UH,statement
"i dont wanna be at work",false,false,false,PRP,statement
"i say leave USERNAME",false,false,false,PRP,statement
"i will in an hour",false,false,false,PRP,statement
"did you talk to him like you were in a lot of pain USERNAME",false,false,false,VBD,statement
"ok USERNAME",false,false,false,RB,yes
"hi USERNAME",false,false,false,JJ,other
"wb USERNAME",false,false,false,IN,other
"hi USERNAME",false,false,false,JJ,other
"USERNAME....im down to time now",false,false,true,CD,statement
"OOH DAamn man i'm, such a sucka",false,false,false,NNP,statement
"whats not to like USERNAME?",true,false,true,WP,question
"lol USERNAME  hiYas ",false,true,false,NN,other
"what kinda of sucker bloe pop or a dum dum ????",true,false,false,WP,question
"blow",false,false,false,NN,statement
"USERNAME  out here",false,false,false,CD,no
"Dang ppl",false,false,false,NNP,statement
"hey there asl please?",true,false,false,UH,question
"i jus wanna know sumfin really important ....",false,false,true,PRP,statement
"hiya USERNAME  how r u babe? ",true,true,false,NN,other
"damnit, this game is pissing me off",false,false,false,NN,statement
"ciao",false,false,false,NN,other
"they cant read",false,false,false,PRP,statement
"USERNAME guess who was here the other night?",true,false,false,CD,question
"I'm sorry USERNAME, I forgot",false,false,false,PRP,statement
"how many LIX      DOES it take to get to the middle ????",true,false,false,WRB,question
"who USERNAME???",true,false,false,WP,question
"USERNAME",false,false,false,CD,statement
"LoL USERNAME, I'd never kick you outta my box",false,false,false,NN,statement
"hi",false,false,false,UH,other
"im good thanks USERNAME   yerself??",true,false,false,PRP,question
"interesting question.. funny iwas thinkin thje same thing",false,false,false,JJ,statement
"Oh yeah. .USERNAME. .",false,true,false,UH,statement
"oh hell yah, thats alwys good to know",false,true,true,UH,statement
"USERNAME..lol",false,false,false,CD,statement
"USERNAME. .I think those were the last numbers",false,false,false,CD,statement
"yes",false,true,false,UH,yes
"i'm great USERNAME ",false,false,false,PRP,statement
"seriously?  i didnt think he would ever come back to TC",true,false,false,RB,statement
"he came back..lol",false,false,false,PRP,statement
"Yeah, he's back",false,true,false,UH,yes
"He's nick is afenumbers or something like that.",false,false,false,PRP,statement
"hi USERNAME",false,false,false,JJ,other
"oh LOL   yeah typo there LOL   ummm yeah i remembah him ...  i remembah",false,true,false,UH,yes
"hey pp",false,false,false,UH,other
"It was a typo ",false,false,false,PRP,statement
"wb USERNAME",false,false,false,IN,other
"what a ride",false,false,false,WDT,statement
"ty ty",false,false,false,IN,statement
"cheers babes.. ur the first to follow up with the pseudo concern 0",false,false,false,NNS,statement
"wb USERNAME",false,false,false,IN,other
"I was shocked when he came in and called me by my name. .I was like wth. .who are you",false,false,false,PRP,statement
"ty USERNAME",false,false,false,IN,statement
"yw",false,false,false,UH,statement
"Im glad he's back.",false,false,false,PRP,statement
"awwww USERNAME  i like pseudo concernin  smirkZ",false,false,false,NN,statement
"lmao i was too USERNAME..i was like wtf r you?",true,false,false,NN,yes
"ahhh USERNAME.....now i know you...lol",false,false,true,NN,statement
"lol USERNAME    yeah i still have him on messenger ",false,true,false,NN,statement
"he said i used to op with u in FF i was like  huh who r you",false,false,false,PRP,statement
"omg USERNAME which color of lipstick do you think would look better on me the do me red or the pussy pink ",false,false,false,CC,question
"hello all",false,false,false,UH,other
"pussy pink",false,false,false,JJ,statement
"Really? Wow. .I took him off a long time ago.",true,false,false,RB,statement
"I didnt think he would come back",false,false,false,PRP,statement
"i just broke up with my gf.long term..i started experimenting with myspace.com. i met this local girl. She brought her cousin over last night..they sucked me boned dry. all i had to provide was 49 dollars worth beer",false,false,false,PRP,statement
"hiya USERNAME",false,true,false,NN,other
"USERNAME",false,false,false,CD,statement
"USERNAME  Stop flooding the room hon",false,false,false,CD,no
"Hello lovelies",false,false,false,UH,other
"alo",false,false,false,NN,other
"USERNAME",false,false,false,CD,statement
"what are you talking about USERNAME",false,false,false,WP,question
"whoopZ  slipped",false,false,false,NNP,question
"well then get Tina in here USERNAME",false,false,false,RB,statement
"Im talkin about all yer typin. .",false,false,false,PRP,statement
"It's me....in the flesh",false,false,false,PRP,statement
"hey everyone",false,false,false,UH,other
"pokes USERNAME didn't want to b left out",false,false,false,VBZ,statement
"I love your flesh",false,false,false,PRP,statement
"How cool are ya' USERNAME?",true,true,false,WRB,question
"19fca...asl??",true,false,false,CD,question
"why USERNAME...there r plently  ladies in here with pink pussies",false,false,false,WRB,statement
"it's nice....soft ",false,false,false,PRP,statement
"long time no seetype USERNAME....lmao",false,false,true,JJ,statement
"Break it up in sentences single posts instead of typin a paragraph ",false,false,false,VB,statement
"sup USERNAME",false,false,false,VB,other
"put the dildo down USERNAME  stop pokin ppl with it",false,false,false,VBD,statement
"It scrolls the room hon",false,false,false,PRP,statement
"about as cool as Pat Boone singing Metallica",false,false,false,IN,statement
"too bad you are so far away",false,false,false,RB,statement
"ooer USERNAME.. how r you darlin?",true,false,false,JJ,question
"damn...USERNAME....that's cool",false,false,false,NN,statement
"i hate paragraphs",false,false,false,PRP,statement
"USERNAME.. I'm ok, how are you babe?",true,false,false,CD,question
"they seem so long LOL",false,false,false,PRP,statement
"ahem",false,false,false,UH,statement
"tired... I didn't sleep much last night",false,false,false,JJ,statement
"not white shoes...bucks",false,false,true,RB,no
"HALO USERNAME..WTF ARE YOU TALKING ABOUT",false,false,false,NN,question
"hows u USERNAME ???",true,false,false,WRB,question
"how r you USERNAME dear?",true,false,false,WRB,question
"oh, sorry",false,false,false,UH,statement
"hola USERNAME",false,false,false,NN,other
"guess you're not so cool",false,false,true,VB,statement
"What are you doin, USERNAME? Dang, yer so quiet.",true,false,false,WP,question
"well tell the bf to stop calling at USERNAME",false,false,false,RB,statement
"you are so anal",false,false,false,PRP,statement
"i'm good ....busy..very busy but good...you???",true,false,false,PRP,statement
"Apparently, I'm not USERNAME",false,false,true,RB,statement
"im good USERNAME winkZ",false,false,false,PRP,question
"USERNAME am phone call",false,false,false,CD,statement
"im good...me and eric r back together",false,false,false,PRP,statement
"USERNAME  Drop yer caps. And if you didnt get what I was talking about, dont worry about it ",false,false,false,CD,statement
"I'll take big barks over cool any day",false,false,false,PRP,statement
"yes!!!",false,true,false,UH,yes
"diggin out the battery charger",false,false,false,VB,statement
"ty",false,false,false,NN,statement
"LoL yeah",false,true,false,NN,yes
"well i hope ur doing ok.. i'm dojn fine babe. .gonna rock up soojn and rob u of all ur 'candy' ",false,false,false,UH,statement
"im the same busy busy",false,false,false,PRP,statement
"oh ok then USERNAME nm",false,false,false,UH,statement
"obviously i didn't get it",false,false,false,RB,statement
"aww i wubs you too",false,false,false,NN,statement
"Ahh mkay.",false,false,false,NNP,yes
"just loosen up babe",false,false,false,RB,statement
"Yes, USERNAME  Obviously ",false,true,false,UH,yes
"USERNAME... just get your butt out here and get it then P",false,false,false,CD,statement
"what do you need a battery charger for USERNAME?",true,false,false,WP,question
"looks like it might be an ok day, I'm going to take the moped out for a ride",false,false,false,VBZ,statement
"I am, USERNAME.",false,false,false,PRP,statement
"i kicked his ass last night USERNAMEs me.LOL",false,false,true,PRP,statement
"Oh, he said to use the cream.",false,false,false,UH,statement
"as soon as i'm no longer a poor mf'er i will ",false,false,true,RB,statement
"ok..i'm gone...again...cya later USERNAME waves",false,true,false,RB,other
"moped USERNAME?..ohh ur a real  man",true,false,false,JJ,statement
"i had a moped once",false,false,false,PRP,statement
"yup",false,false,false,UH,yes
"thats my moped",false,false,false,IN,statement
"herpes is herpes babe",false,false,false,NNS,statement
"imma make fun of his moped now",false,false,true,NN,statement
"you are a total fuddahnut USERNAME",false,false,false,PRP,statement
"u kicked his ass USERNAME gees",false,false,false,NN,statement
"I know...I watch Dr. Drew",false,false,true,PRP,statement
"how many of you tried myspace for dating..i hate to promoter other sites..i hate yahoo but now there is alternatives..",false,true,true,WRB,statement
"Dr. Drew rocks",false,false,false,NNP,statement
"yup i kicked his ass",false,false,false,UH,yes
"I have the only 10' long moped in town",false,false,false,PRP,statement
"I hit that",false,false,false,PRP,statement
"I'd even",false,false,false,PRP,statement
"Wb USERNAME",false,false,false,NNP,other
"hola USERNAME",false,false,false,NN,other
